// Start Time: Unknown
// Update Rate: Various
// Filter Profile: General (1.17)
// Option Flags: AHS Enabled ICC Enabled 
// GNSS Platform: Portable
// Firmware Version: 1.4.12
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48766									0.179859	-0.059306	9.822916	0.000887	0.002256	-0.002622	-0.033239	0.385548	1.062924			
48767									0.189384	-0.052110	9.818148	0.001227	0.000336	-0.001986	-0.029848	0.389114	1.043764			
48768									0.187089	-0.064024	9.818139	0.003525	-0.003176	-0.005841	-0.028263	0.382636	1.055582			
48769									0.194247	-0.061602	9.815758	0.000921	0.000010	-0.004231	-0.025830	0.382442	1.053849			
48770									0.179967	-0.066444	9.815732	-0.001315	-0.000653	-0.003590	-0.030463	0.387383	1.055383			
48771									0.175122	-0.059332	9.818121	0.000917	0.001289	-0.006792	-0.030050	0.391739	1.049578			
48772									0.182350	-0.059288	9.808559	0.002807	0.002595	-0.003263	-0.021438	0.384978	1.062009			
48773									0.177328	-0.042661	9.825314	0.001228	0.000974	-0.003908	-0.032604	0.384853	1.049365			
48774									0.201248	-0.061568	9.837312	-0.000379	0.000962	-0.002626	-0.028322	0.389914	1.061402			
48775									0.189406	-0.066394	9.830109	0.001219	0.001616	-0.003906	-0.027597	0.389119	1.045905			
48776									0.177401	-0.052181	9.825309	-0.000024	-0.001604	-0.003593	-0.030625	0.385156	1.057317			
48777									0.165508	-0.061771	9.830072	0.004434	0.000361	-0.003909	-0.030120	0.389412	1.049575			
48778									0.179808	-0.061689	9.832489	0.001893	-0.000626	-0.005514	-0.030846	0.390206	1.065071			
48779									0.194192	-0.054462	9.815762	0.003145	0.000994	-0.003268	-0.027546	0.393872	1.047848			
48780									0.177450	-0.042656	9.808559	0.003825	-0.002209	-0.003595	-0.031078	0.385652	1.067003			
48781									0.187194	-0.064020	9.803777	-0.001631	-0.000656	-0.004231	-0.032372	0.389407	1.047433			
48782									0.194103	-0.049704	9.822945	0.004118	-0.000920	-0.001349	-0.021166	0.384680	1.056198			
48783									0.179948	-0.064064	9.815733	0.001208	0.001619	-0.001341	-0.032694	0.384952	1.051302			
